SKU_ID,NAME,CATEGORY,PRICE,COST,INVENTORY
IP14-128-BLK,iPhone 14 128GB Black,Electronics,999.99,700.00,150
IP14-256-WHT,iPhone 14 256GB White,Electronics,1149.99,800.00,75
MBP-14-M1,MacBook Pro 14 M1,Electronics,1999.99,1500.00,50
SAMS-S22-128,Samsung Galaxy S22 128GB,Electronics,799.99,550.00,200
AIRPODS-PRO,AirPods Pro 2nd Gen,Electronics,249.99,150.00,300
IPAD-AIR-64,iPad Air 64GB,Electronics,599.99,400.00,120
SWH-1000XM4,Sony WH-1000XM4 Headphones,Electronics,349.99,220.00,180
GALAXY-TAB,Samsung Galaxy Tab S8,Electronics,699.99,480.00,90
APPLE-WATCH-S7,Apple Watch Series 7,Electronics,399.99,280.00,250
MAC-MINI-M2,Mac Mini M2,Electronics,699.99,500.00,80
TSHIRT-BLUE-M,Blue Cotton T-Shirt Medium,Apparel,29.99,12.00,500
JEANS-DARK-32,Dark Wash Jeans Size 32,Apparel,79.99,35.00,250
HOODIE-BLACK-L,Black Hoodie Large,Apparel,59.99,25.00,180
SNEAKER-WHITE-9,White Running Shoes Size 9,Apparel,89.99,45.00,150
JACKET-DENIM-M,Denim Jacket Medium,Apparel,99.99,50.00,100
DRESS-RED-S,Red Summer Dress Small,Apparel,49.99,22.00,200
POLO-SHIRT-GREEN-L,Green Polo Shirt Large,Apparel,39.99,18.00,300
LEGGINGS-BLACK-M,Black Yoga Leggings Medium,Apparel,34.99,15.00,400
BLAZER-NAVY-L,Navy Blazer Large,Apparel,129.99,65.00,75
BOOTS-BROWN-10,Brown Leather Boots Size 10,Apparel,119.99,60.00,120
BLENDER-PRO,Professional Blender,Home & Kitchen,129.99,70.00,80
AIR-FRYER-XL,XL Air Fryer,Home & Kitchen,149.99,85.00,120
COFFEE-MAKER,Drip Coffee Maker,Home & Kitchen,79.99,45.00,200
COOKWARE-SET,10-Piece Cookware Set,Home & Kitchen,199.99,120.00,60
TOASTER-4SLICE,4-Slice Toaster,Home & Kitchen,49.99,25.00,150
VACUUM-ROBO,Robot Vacuum Cleaner,Home & Kitchen,299.99,180.00,90
STAND-MIXER,Stand Mixer Professional,Home & Kitchen,349.99,220.00,50
AIR-PURIFIER,HEPA Air Purifier,Home & Kitchen,199.99,120.00,110
MICROWAVE-OVEN,Countertop Microwave Oven,Home & Kitchen,89.99,55.00,180
DISHWASHER-PORT,Portable Dishwasher,Home & Kitchen,449.99,300.00,40
FACE-CREAM,Anti-Aging Face Cream,Beauty & Health,39.99,15.00,300
HAIR-DRYER,Professional Hair Dryer,Beauty & Health,89.99,50.00,100
VITAMIN-C,Vitamin C Supplements 100ct,Beauty & Health,24.99,8.00,400
PERFUME-50ML,Designer Perfume 50ml,Beauty & Health,79.99,30.00,150
SERUM-RETINOID,Retinoid Serum 30ml,Beauty & Health,49.99,20.00,250
SHAMPOO-REPAIR,Repair Shampoo 400ml,Beauty & Health,19.99,7.00,500
LIPSTICK-RED,Matte Red Lipstick,Beauty & Health,24.99,9.00,350
FOUNDATION-BUFF,Liquid Foundation Buff,Beauty & Health,34.99,12.00,280
MASCARA-BLACK,Volumizing Black Mascara,Beauty & Health,22.99,8.00,420
SUNSCREEN-50,SPF 50 Sunscreen 100ml,Beauty & Health,29.99,11.00,380
YOGA-MAT,Premium Yoga Mat,Sports & Outdoors,29.99,12.00,200
DUMBBELL-10LB,10lb Dumbbell Pair,Sports & Outdoors,39.99,20.00,180
BACKPACK-30L,30L Hiking Backpack,Sports & Outdoors,89.99,45.00,120
TENT-4P,4-Person Camping Tent,Sports & Outdoors,199.99,110.00,50
BIKE-ROAD,Road Bicycle 21-Speed,Sports & Outdoors,599.99,350.00,30
TREADMILL-PRO,Professional Treadmill,Sports & Outdoors,899.99,600.00,25
FOOTBALL-SIZE5,Size 5 Football,Sports & Outdoors,29.99,12.00,300
BASKETBALL-OFF,Official Basketball,Sports & Outdoors,49.99,22.00,250
TENNIS-RACKET,Tennis Racket Professional,Sports & Outdoors,129.99,65.00,150
SWIM-GOGGLES,Swimming Goggles,Sports & Outdoors,24.99,10.00,400
BOOK-FICTION,Bestseller Fiction Novel,Books & Media,14.99,6.00,600
BOOK-COOKING,Gourmet Cooking Guide,Books & Media,29.99,12.00,350
DVD-BOXSET,Movie Box Set Collection,Books & Media,49.99,20.00,200
CD-POPULAR,Popular Music Album CD,Books & Media,12.99,5.00,500
GAME-CONSOLE,Video Game Console,Books & Media,299.99,180.00,80
GAME-POPULAR,Popular Video Game,Books & Media,59.99,25.00,300
TOY-LEGO-SET,Lego Building Set,Toys & Games,79.99,35.00,180
TOY-DOLL-PREMIUM,Premium Fashion Doll,Toys & Games,39.99,15.00,250
BOARD-GAME-CLASSIC,Classic Board Game,Toys & Games,34.99,14.00,320
PUZZLE-1000PC,1000 Piece Puzzle,Toys & Games,19.99,8.00,400
REMOTE-CAR,Remote Control Car,Toys & Games,49.99,22.00,220